id,Suburb,Type,Method,Real_Estate_Agent,Distance,Postcode,Number_of_Bedroom,Number_of_Bathroom,Number_of_Carpark,Latitude,Longitude,Median_rent_weekly
1001,Bentleigh East,t,S,Woodards,13.9,3165,4,3,1,-37.9164,145.0765,500
1002,Bentleigh East,h,S,Ray,13.9,3165,3,2,2,-37.9239,145.0781,500
1003,Bentleigh East,t,VB,Buxton,13.9,3165,3,2,1,-37.9227,145.0558,500
1004,Bentleigh East,t,S,Buxton,13.9,3165,3,2,2,-37.9219,145.0733,500
1005,Bentleigh East,h,S,Woodards,13.9,3165,2,1,1,-37.9099,145.0726,500
1006,Bentleigh East,h,PI,Buxton,13.9,3165,3,2,2,-37.9303,145.0805,500
1007,Bentleigh East,h,PI,Buxton,13.9,3165,2,1,1,-37.9179,145.071,500
1008,Bentleigh East,t,S,hockingstuart,13.9,3165,3,2,1,-37.9196,145.0691,500
1009,Bentleigh East,h,S,Hodges,13.9,3165,4,2,1,-37.9257,145.0735,500
1010,Bentleigh East,h,S,Woodards,13.9,3165,3,1,4,-37.9117,145.0695,500
1011,Bentleigh East,h,S,Buxton,13.9,3165,2,2,1,-37.9293,145.0657,500
1012,Bentleigh East,h,SP,Buxton,13.9,3165,3,1,2,-37.9286,145.069,500
1013,Bentleigh East,h,S,Buxton,13.9,3165,3,2,1,-37.919,145.0829,500
1014,Bentleigh East,h,PI,First,13.9,3165,3,1,2,-37.9193,145.0691,500
1015,Bentleigh East,h,S,hockingstuart,13.9,3165,4,2,2,-37.9252,145.0562,500
1016,Bentleigh East,t,SP,Woodards,13.9,3165,4,2,2,-37.9197,145.057,500
1017,Bentleigh East,h,S,Buxton,13.9,3165,4,2,2,-37.906,145.0547,500
1018,Bentleigh East,h,S,hockingstuart,13.9,3165,3,1,1,-37.9244,145.0665,500
1019,Bentleigh East,h,PI,Buxton,13.9,3165,3,2,2,-37.9168,145.0809,500
1020,Bentleigh East,t,PI,Buxton,13.9,3165,4,2,2,-37.9299,145.0598,500
1021,Bentleigh East,h,S,Buxton,13.9,3165,4,2,2,-37.9262,145.0624,500
1022,Bentleigh East,h,S,Gary,13.9,3165,4,2,2,-37.9117,145.0534,500
1023,Bentleigh East,u,S,Woodards,13.9,3165,3,3,1,-37.9149,145.0788,500
1024,Bentleigh East,h,VB,Beller,13.9,3165,3,1,3,-37.9347,145.0507,500
1025,Bentleigh East,t,S,Matthew,13.9,3165,3,2,2,-37.9176,145.0566,500
1026,Bentleigh East,h,S,C21,13.9,3165,3,2,2,-37.9079,145.0707,500
1027,Bentleigh East,t,S,Buxton,13.9,3165,4,2,1,-37.9198,145.0789,500
1028,Bentleigh East,u,S,hockingstuart,13.9,3165,2,1,1,-37.9079,145.0685,500
1029,Bentleigh East,h,S,Hodges,13.9,3165,5,3,2,-37.9066,145.0541,500
1030,Bentleigh East,h,S,Woodards,13.9,3165,3,1,1,-37.9087,145.0537,500
1031,Bentleigh East,t,S,Buxton,13.9,3165,3,2,2,-37.9256,145.0533,500
1032,Bentleigh East,h,S,Buxton,13.9,3165,3,1,1,-37.9241,145.0763,500
1033,Bentleigh East,u,SP,Buxton,13.9,3165,3,2,1,-37.9329,145.053,500
1034,Bentleigh East,t,S,hockingstuart,13.9,3165,3,2,2,-37.9179,145.0592,500
1035,Bentleigh East,h,S,Buxton,13.9,3165,3,1,2,-37.9242,145.0705,500
1036,Bentleigh East,h,S,Woodards,13.9,3165,3,1,2,-37.9113,145.0765,500
1037,Bentleigh East,h,SP,Buxton,13.9,3165,4,2,2,-37.9274,145.0654,500
1038,Bentleigh East,h,S,Buxton,13.9,3165,3,1,2,-37.9232,145.0563,500
1039,Bentleigh East,u,SP,Buxton,13.9,3165,2,2,2,-37.9292,145.0708,500
1040,Bentleigh East,h,PI,Marshall,13.9,3165,4,1,1,-37.9129,145.0598,500
1041,Bentleigh East,h,S,hockingstuart,13.9,3165,4,2,2,-37.9138,145.0774,500
1042,Bentleigh East,t,S,Buxton,13.9,3165,3,2,1,-37.9142,145.08,500
1043,Bentleigh East,u,S,Woodards,13.9,3165,3,2,2,-37.9225,145.0754,500
1044,Bentleigh East,h,S,hockingstuart,13.9,3165,3,2,3,-37.912,145.0752,500
1045,Bentleigh East,h,S,hockingstuart,13.9,3165,3,1,3,-37.9307,145.0531,500
1046,Bentleigh East,t,PI,hockingstuart,13.9,3165,3,2,2,-37.9272,145.0801,500
1047,Bentleigh East,t,S,Buxton,13.9,3165,4,4,2,-37.9116,145.0686,500
1048,Bentleigh East,u,PI,hockingstuart,13.9,3165,3,2,1,-37.9257,145.0811,500
1049,Bentleigh East,u,S,hockingstuart,13.9,3165,1,1,1,-37.9315,145.0619,500
1050,Bentleigh East,h,S,RT,13.9,3165,4,2,2,-37.9281,145.0669,500
1051,Bentleigh East,h,S,Woodards,13.9,3165,3,1,1,-37.916,145.0776,500
1052,Bentleigh East,h,SP,Gary,13.9,3165,4,1,2,-37.9147,145.0751,500
1053,Bentleigh East,h,S,Hodges,13.9,3165,4,1,1,-37.9289,145.0502,500
1054,Bentleigh East,t,PI,hockingstuart,13.9,3165,3,2,1,-37.9075,145.061,500
1055,Bentleigh East,u,S,hockingstuart,13.9,3165,2,1,1,-37.9107,145.0598,500
1056,Bentleigh East,h,S,Buxton,13.9,3165,2,1,1,-37.9212,145.0606,500
1057,Bentleigh East,h,PI,hockingstuart,13.9,3165,5,3,2,-37.9143,145.0699,500
1058,Bentleigh East,u,S,hockingstuart,13.9,3165,3,1,2,-37.9286,145.0737,500
1059,Bentleigh East,h,S,Nick,13.9,3165,3,1,2,-37.9251,145.0771,500
1060,Bentleigh East,h,S,Ray,13.9,3165,3,2,1,-37.9159,145.0787,500
1061,Bentleigh East,h,S,C21,13.9,3165,4,2,3,-37.9374,145.0726,500
1062,Bentleigh East,h,S,Buxton,13.9,3165,4,2,2,-37.9207,145.0757,500
1063,Bentleigh East,h,S,Buxton,13.9,3165,3,1,1,-37.9178,145.067,500
1064,Bentleigh East,h,S,Gary,13.9,3165,3,2,1,-37.9236,145.0545,500
1065,Bentleigh East,h,S,hockingstuart,13.9,3165,4,2,2,-37.9351,145.0572,500
1066,Bentleigh East,h,PI,hockingstuart,13.9,3165,2,2,2,-37.908,145.0716,500
1067,Bentleigh East,h,S,Buxton,13.9,3165,4,3,2,-37.9107,145.0745,500
1068,Bentleigh East,h,S,Buxton,13.9,3165,3,1,3,-37.9331,145.0586,500
1069,Bentleigh East,t,S,hockingstuart,13.9,3165,3,2,2,-37.9127,145.0694,500
1070,Bentleigh East,h,PI,Buxton,13.9,3165,3,1,1,-37.919,145.0803,500
1071,Bentleigh East,u,SP,hockingstuart,13.9,3165,2,1,1,-37.911,145.0711,500
1072,Bentleigh East,h,S,Woodards,13.9,3165,4,1,2,-37.9194,145.057,500
1073,Bentleigh East,h,S,Ray,13.9,3165,3,2,2,-37.9076,145.068,500
1074,Bentleigh East,h,S,Buxton,13.8,3165,5,2,2,-37.93228,145.07026,500
1075,Bentleigh East,h,S,hockingstuart,13.8,3165,4,2,2,-37.91657,145.05534,500
1076,Bentleigh East,h,S,Buxton,13.8,3165,4,2,2,-37.91327,145.07917,500
1077,Bentleigh East,h,PI,Buxton,13.8,3165,3,1,3,-37.9178,145.05414,500
1078,Bentleigh East,h,PI,hockingstuart,13.8,3165,4,2,2,-37.91503,145.07997,500
1079,Bentleigh East,h,S,hockingstuart,13.8,3165,4,3,2,-37.91954,145.07637,500
1080,Bentleigh East,h,SP,Buxton,13.8,3165,3,1,2,-37.90984,145.08001,500
1081,Bentleigh East,h,S,hockingstuart,13.8,3165,4,2,5,-37.9143,145.06582,500
1082,Bentleigh East,h,S,Buxton,13.8,3165,3,2,2,-37.91068,145.06802,500
1083,Bentleigh East,t,S,Woodards,13.8,3165,3,2,2,-37.91289,145.08065,500
1084,Bentleigh East,h,SP,Buxton,13.8,3165,3,2,2,-37.91506,145.07121,500
1085,Bentleigh East,h,VB,Jellis,13.8,3165,3,1,3,-37.92041,145.07901,500
1086,Bentleigh East,t,SP,Buxton,13.8,3165,3,2,2,-37.91783,145.0816,500
1087,Bentleigh East,h,S,Jellis,13.8,3165,4,1,2,-37.91291,145.05996,500
1088,Bentleigh East,h,VB,Buxton,13.8,3165,2,1,2,-37.93574,145.06169,500
1089,Bentleigh East,h,VB,Gary,13.8,3165,5,3,3,-37.91865,145.05418,500
1090,Bentleigh East,t,S,Buxton,13.8,3165,4,2,2,-37.90866,145.07533,500
1091,Bentleigh East,h,VB,Gary,13.8,3165,4,3,3,-37.91487,145.06623,500
1092,Bentleigh East,h,SP,Jellis,13.8,3165,3,2,3,-37.92599,145.07537,500
1093,Bentleigh East,t,VB,hockingstuart,13.8,3165,4,2,3,-37.93682,145.0762,500
1094,Bentleigh East,h,S,Woodards,13.8,3165,3,1,3,-37.93016,145.0726,500
1095,Bentleigh East,h,S,Jellis,13.8,3165,3,2,3,-37.92066,145.0669,500
1096,Bentleigh East,h,S,Buxton,13.8,3165,5,5,2,-37.93633,145.07342,500
1097,Bentleigh East,h,S,Jellis,13.8,3165,4,2,2,-37.92176,145.07477,500
1098,Bentleigh East,h,SP,Buxton,13.8,3165,3,1,2,-37.91567,145.07111,500
1099,Bentleigh East,h,VB,Jellis,13.8,3165,4,1,4,-37.90967,145.05948,500
1100,Bentleigh East,t,S,Ray,13.8,3165,3,1,1,-37.9087,145.0689,500
1101,Bentleigh East,h,S,Jellis,13.8,3165,3,1,1,-37.9238,145.054,500
1102,Bentleigh East,h,S,Buxton,13.8,3165,4,2,2,-37.9261,145.0506,500
1103,Bentleigh East,h,S,Woodards,13.8,3165,3,1,4,-37.91153,145.07831,500
1104,Bentleigh East,h,SP,Woodards,13.8,3165,3,1,4,-37.93014,145.05565,500
1105,Bentleigh East,h,VB,Buxton,13.8,3165,2,1,1,-37.92345,145.0659,500
1106,Bentleigh East,h,S,Buxton,13.8,3165,4,2,2,-37.91089,145.0581,500
1107,Bentleigh East,t,S,Jellis,13.8,3165,4,3,2,-37.91372,145.07488,500
1108,Bentleigh East,h,S,Buxton,13.8,3165,3,1,2,-37.92498,145.06907,500
1109,Bentleigh East,h,S,Jellis,13.8,3165,5,3,2,-37.91653,145.05705,500
1110,Bentleigh East,h,S,Buxton,13.8,3165,3,1,1,-37.92083,145.07083,500
1111,Bentleigh East,t,VB,Jellis,13.8,3165,3,3,2,-37.93227,145.06377,500
1112,Bentleigh East,h,S,Jellis,13.8,3165,3,1,2,-37.93648,145.07433,500
1113,Bentleigh East,h,S,Jellis,13.8,3165,2,1,3,-37.91766,145.05294,500
1114,Bentleigh East,h,VB,Buxton,13.8,3165,3,2,2,-37.93014,145.06384,500
1115,Bentleigh East,h,S,Jellis,13.8,3165,3,1,4,-37.91795,145.07162,500
1116,Box Hill,h,S,hockingstuart,13.1,3128,4,2,2,-37.8151,145.135,391
1117,Box Hill,u,S,McGrath,13.1,3128,2,1,1,-37.8271,145.1299,391
1118,Box Hill,h,PI,Jellis,13.1,3128,3,2,3,-37.8233,145.1267,391
1119,Box Hill,h,SP,Marshall,13.1,3128,3,2,2,-37.8257,145.1216,391
1120,Box Hill,h,SP,Marshall,13.1,3128,3,1,2,-37.8275,145.1298,391
1121,Box Hill,h,S,Fletchers,13.1,3128,3,1,0,-37.8258,145.1246,391
1122,Box Hill,h,S,Ray,13.1,3128,3,1,2,-37.8167,145.1373,391
1123,Box Hill,u,S,Ray,13.1,3128,2,2,1,-37.8216,145.127,391
1124,Box Hill,t,VB,Lindellas,13.1,3128,4,2,2,-37.8282,145.1301,391
1125,Box Hill,h,S,Lindellas,13.1,3128,3,1,1,-37.827,145.1209,391
1126,Box Hill,t,S,Jellis,13.1,3128,3,2,1,-37.8287,145.1319,391
1127,Box Hill,h,S,hockingstuart,13.1,3128,3,2,1,-37.8285,145.1272,391
1128,Box Hill,h,SP,Ray,13.1,3128,3,1,2,-37.8235,145.1276,391
1129,Box Hill,h,S,Fletchers,13.1,3128,4,2,1,-37.8247,145.1281,391
1130,Box Hill,h,S,Allens,13.1,3128,3,2,2,-37.8244,145.1319,391
1131,Box Hill,u,S,Fletchers,13.1,3128,3,1,1,-37.8275,145.1232,391
1132,Box Hill,h,S,Noel,13.1,3128,4,4,4,-37.8166,145.1354,391
1133,Box Hill,h,VB,Lindellas,13.1,3128,3,1,2,-37.8166,145.1215,391
1134,Box Hill,h,S,Lindellas,13.1,3128,3,1,1,-37.8247,145.1206,391
1135,Box Hill,u,S,Philip,13.1,3128,2,1,1,-37.8234,145.1235,391
1136,Box Hill,h,S,Ray,13.1,3128,3,1,1,-37.8264,145.1248,391
1137,Box Hill,h,S,Marshall,13.1,3128,4,2,2,-37.8274,145.1242,391
1138,Box Hill,h,S,Fletchers,13.1,3128,4,1,1,-37.8283,145.1195,391
1139,Box Hill,t,S,Noel,13.1,3128,3,2,1,-37.8154,145.1355,391
1140,Box Hill,u,S,Ray,13.1,3128,2,1,1,-37.8158,145.1384,391
1141,Box Hill,h,S,Noel,13.1,3128,3,1,2,-37.8262,145.1301,391
1142,Box Hill,h,S,Buxton,13.1,3128,3,2,2,-37.8229,145.1217,391
1143,Box Hill,h,SP,Buxton,10.9,3128,2,1,2,-37.82756,145.11897,391
1144,Box Hill,u,S,Philip,10.9,3128,2,1,1,-37.8179,145.1341,391
1145,Box Hill,h,PI,Buxton,10.9,3128,5,3,2,-37.82703,145.12938,391
1146,Box Hill,h,S,Fletchers,10.9,3128,4,2,1,-37.82392,145.1299,391
1147,Box Hill,h,S,RT,10.9,3128,4,2,2,-37.8142,145.1278,391
1148,Box Hill,h,S,Buxton,10.9,3128,4,3,2,-37.82346,145.12631,391
1149,Box Hill,h,SP,Buxton,10.9,3128,6,3,5,-37.82438,145.12528,391
1150,Braybrook,h,S,Barry,10.8,3019,2,1,1,-37.7839,144.8524,312
1151,Braybrook,t,SP,Sweeney,10.8,3019,3,1,1,-37.785,144.8561,312
1152,Braybrook,u,S,Bells,10.8,3019,3,2,1,-37.7851,144.8517,312
1153,Braybrook,h,S,Bells,10.8,3019,2,1,4,-37.7814,144.847,312
1154,Braybrook,h,SP,Biggin,10.8,3019,4,2,1,-37.7908,144.8485,312
1155,Braybrook,h,S,Barry,10.8,3019,3,2,1,-37.7865,144.8605,312
1156,Braybrook,h,SA,Sweeney,10.8,3019,4,2,2,-37.788,144.862,312
1157,Braybrook,h,S,Trimson,10.8,3019,3,1,3,-37.7923,144.852,312
1158,Braybrook,h,S,Village,10.8,3019,4,2,2,-37.7763,144.8543,312
1159,Braybrook,h,S,Barry,10.8,3019,3,2,2,-37.7815,144.855,312
1160,Braybrook,h,VB,Biggin,10.8,3019,4,2,1,-37.7908,144.8485,312
1161,Braybrook,h,S,YPA,10.8,3019,3,1,0,-37.7899,144.8515,312
1162,Braybrook,t,S,Sweeney,10.8,3019,3,2,1,-37.7827,144.8625,312
1163,Braybrook,h,S,GL,10.8,3019,3,1,1,-37.7905,144.8485,312
1164,Braybrook,t,S,Barry,10.8,3019,2,1,1,-37.7948,144.854,312
1165,Braybrook,h,S,Barry,10.8,3019,4,2,1,-37.7775,144.855,312
1166,Braybrook,h,S,Burnham,10.8,3019,3,1,1,-37.7889,144.8465,312
1167,Braybrook,h,S,Nelson,10.8,3019,3,2,1,-37.7844,144.8523,312
1168,Braybrook,h,S,Barry,10.8,3019,2,1,2,-37.7854,144.8463,312
1169,Braybrook,h,S,Douglas,10.8,3019,2,1,1,-37.782,144.8528,312
1170,Braybrook,t,SP,Barry,10.8,3019,3,2,1,-37.7894,144.8463,312
1171,Braybrook,h,S,Nelson,10.8,3019,4,3,2,-37.7759,144.8552,312
1172,Braybrook,h,VB,Sweeney,8.6,3019,2,1,2,-37.7877,144.84757,312
1173,Braybrook,h,S,Douglas,8.6,3019,3,1,2,-37.79382,144.85107,312
1174,Braybrook,h,S,hockingstuart,8.6,3019,2,1,1,-37.78341,144.85574,312
1175,Braybrook,t,S,Sweeney,8.6,3019,3,1,1,-37.78893,144.84652,312
1176,Braybrook,h,S,Douglas,8.6,3019,3,1,2,-37.78311,144.85331,312
1177,Braybrook,h,SP,Barry,8.6,3019,3,1,0,-37.79373,144.84678,312
1178,Braybrook,h,S,RW,8.6,3019,3,1,3,-37.79262,144.84587,312
1179,Braybrook,h,S,Bells,8.6,3019,3,1,1,-37.78308,144.85297,312
1180,Braybrook,h,VB,GL,8.6,3019,3,1,1,-37.77998,144.85338,312
1181,Brighton,h,S,Buxton,11.2,3186,3,1,2,-37.9038,145.0001,600
1182,Brighton,h,S,Marshall,11.2,3186,4,3,2,-37.9071,144.9898,600
1183,Brighton,u,SP,Hodges,11.2,3186,2,1,2,-37.9081,145.0043,600
1184,Brighton,h,S,Marshall,11.2,3186,4,3,2,-37.914,144.9878,600
1185,Brighton,h,S,Buxton,11.2,3186,3,1,2,-37.9172,144.996,600
1186,Brighton,h,S,Tiernan's,11.2,3186,3,1,2,-37.9205,145.0007,600
1187,Brighton,h,S,Marshall,11.2,3186,4,3,1,-37.8926,144.9991,600
1188,Brighton,u,S,Nick,11.2,3186,2,2,2,-37.9172,145.004,600
1189,Brighton,t,PI,Buxton,11.2,3186,3,2,2,-37.918,145.0035,600
1190,Brighton,h,S,Buxton,11.2,3186,3,2,2,-37.9082,144.9968,600
1191,Brighton,u,S,Hodges,11.2,3186,2,1,1,-37.9122,145.0038,600
1192,Brighton,h,S,Kay,11.2,3186,4,2,3,-37.8956,145.0026,600
1193,Brighton,h,S,Nick,11.2,3186,3,2,2,-37.9166,144.9942,600
1194,Brighton,h,VB,Buxton,11.2,3186,4,3,1,-37.9118,144.9984,600
1195,Brighton,u,S,Nick,11.2,3186,2,1,2,-37.9157,144.9973,600
1196,Brighton,h,S,Buxton,11.2,3186,3,2,1,-37.8954,145.0017,600
1197,Brighton,h,S,Biggin,11.2,3186,4,2,2,-37.9241,145.0008,600
1198,Brighton,u,S,Gary,11.2,3186,2,2,1,-37.9042,144.9954,600
1199,Brighton,t,PI,Buxton,11.2,3186,3,2,2,-37.8943,144.9907,600
1200,Brighton,h,S,Nick,11.2,3186,3,2,2,-37.9174,144.9895,600
1201,Brighton,h,PI,Buxton,11.2,3186,5,2,2,-37.9264,145.0044,600
1202,Brighton,h,PI,hockingstuart,11.2,3186,3,3,2,-37.899,144.9901,600
1203,Brighton,h,S,Buxton,11.2,3186,4,3,2,-37.8964,144.9972,600
1204,Brighton,u,S,Buxton,11.2,3186,2,1,2,-37.9131,144.995,600
1205,Brighton,h,S,Hodges,11.2,3186,3,2,1,-37.8916,145.0017,600
1206,Brighton,h,S,Buxton,11.2,3186,2,1,0,-37.9154,145.001,600
1207,Brighton,h,SP,Buxton,11.2,3186,3,2,1,-37.9228,144.9996,600
1208,Brighton,h,S,Hodges,11.2,3186,3,2,2,-37.9153,144.9924,600
1209,Brighton,u,S,Hodges,11.2,3186,3,1,2,-37.9268,144.991,600
1210,Brighton,h,S,Gary,11.2,3186,5,3,2,-37.9204,145.0028,600
1211,Brighton,h,S,Hodges,11.2,3186,4,3,2,-37.8975,144.9991,600
1212,Brighton,u,S,hockingstuart,11.2,3186,1,1,1,-37.9181,144.993,600
1213,Brighton,u,S,Buxton,11.2,3186,2,1,1,-37.9112,144.9909,600
1214,Brighton,h,PI,Hodges,11.2,3186,5,5,2,-37.9012,144.997,600
1215,Brighton,h,S,HAR,11.2,3186,4,2,2,-37.9271,145.0034,600
1216,Brighton,h,S,Buxton,11.2,3186,3,1,2,-37.9254,145.0045,600
1217,Brighton,u,S,Marshall,11.2,3186,2,1,1,-37.8958,144.9982,600
1218,Brighton,h,S,Biggin,11.2,3186,4,2,4,-37.8962,145.0011,600
1219,Brighton,h,VB,Kay,11.2,3186,4,3,4,-37.9233,144.9944,600
1220,Brighton,h,VB,Marshall,11.2,3186,4,2,2,-37.916,145.0064,600
1221,Brighton,h,SP,Nick,11.2,3186,4,2,2,-37.8987,144.9953,600
1222,Brighton,h,S,Nick,11.2,3186,4,2,2,-37.9227,145.0043,600
1223,Brighton,u,S,RT,11.2,3186,2,1,1,-37.9156,145.0013,600
1224,Brighton,h,S,Hodges,11.2,3186,2,1,2,-37.9095,145.004,600
1225,Brighton,t,S,Buxton,11.2,3186,2,1,2,-37.9078,145.0051,600
1226,Brighton,h,SP,Buxton,11.2,3186,4,4,2,-37.8989,145.0008,600
1227,Brighton,t,SP,Biggin,11.2,3186,4,2,2,-37.9228,145.0022,600
1228,Brighton,h,S,Hodges,11.2,3186,4,2,2,-37.9234,145.0042,600
1229,Brighton,u,S,Buxton,11.2,3186,1,1,1,-37.9194,145.0003,600
1230,Brighton,t,SP,Marshall,11.2,3186,4,2,2,-37.9237,145.0056,600
1231,Brighton,h,S,Nick,11.2,3186,3,1,1,-37.919,144.9953,600
1232,Brighton,h,S,RT,11.2,3186,4,1,2,-37.9262,144.9969,600
1233,Brighton,u,S,hockingstuart,11.2,3186,2,2,1,-37.91,144.989,600
1234,Brighton,h,S,Marshall,11.2,3186,4,2,2,-37.9205,145.0012,600
1235,Brighton,h,VB,Hodges,11.2,3186,3,2,1,-37.8869,144.9982,600
1236,Brighton,h,S,Marshall,11.2,3186,3,2,2,-37.894,144.9977,600
1237,Brighton,t,VB,Kay,11.2,3186,4,4,2,-37.9104,144.9999,600
1238,Brighton,h,PI,Nick,11.2,3186,3,2,2,-37.911,144.9866,600
1239,Brighton,t,PI,Marshall,11.2,3186,2,1,1,-37.8993,145.0046,600
1240,Brighton,h,S,Biggin,11.2,3186,4,2,2,-37.8981,144.9902,600
1241,Brighton,t,S,Buxton,11.2,3186,3,2,4,-37.928,145.0002,600
1242,Brighton,u,PI,hockingstuart,11.2,3186,2,1,1,-37.8847,144.9972,600
1243,Brighton,h,VB,Kay,11.2,3186,4,2,2,-37.8981,145.0,600
1244,Brighton,t,S,Buxton,11.2,3186,3,2,2,-37.901,145.0026,600
1245,Brighton,h,PI,Biggin,11.2,3186,3,2,4,-37.9056,144.9893,600
1246,Brighton,u,S,Nick,11.2,3186,3,2,2,-37.9163,144.9901,600
1247,Brighton,h,S,RT,10.5,3186,3,2,2,-37.90876,145.00743,600
1248,Brighton,u,VB,Chisholm,10.5,3186,1,1,1,-37.88468,144.99722,600
1249,Brighton,h,PI,Biggin,10.5,3186,3,1,3,-37.91155,145.00657,600
1250,Brighton,h,S,RT,10.5,3186,3,2,1,-37.91068,145.00394,600
1251,Brighton,h,SP,Hodges,10.5,3186,3,2,2,-37.92829,145.00281,600
1252,Brighton,h,PI,Buxton,10.5,3186,4,4,4,-37.90904,144.99868,600
1253,Brighton,h,SP,Marshall,10.5,3186,4,2,1,-37.88779,144.99933,600
1254,Brighton,h,VB,hockingstuart,10.5,3186,4,3,2,-37.90396,144.99126,600
1255,Brighton,u,PI,Greg,10.5,3186,1,1,1,-37.9041,144.9993,600
1256,Brighton,u,SP,Buxton,10.5,3186,2,1,1,-37.89569,144.99881,600
1257,Brighton,h,S,Marshall,10.5,3186,3,1,3,-37.88879,144.99833,600
1258,Brighton,t,PI,Buxton,10.5,3186,3,2,2,-37.91414,145.00527,600
1259,Brighton,h,VB,Jellis,10.5,3186,4,3,3,-37.90542,145.00604,600
1260,Brighton,h,S,Nick,10.5,3186,4,2,2,-37.90034,144.99609,600
1261,Brighton,h,S,Marshall,10.5,3186,4,3,2,-37.90397,144.99582,600
1262,Brighton,t,SP,Buxton,10.5,3186,4,2,2,-37.89238,144.98907,600
1263,Brighton,h,VB,Marshall,10.5,3186,4,2,2,-37.90946,144.98919,600
1264,Brighton,h,PI,Buxton,10.5,3186,3,2,2,-37.89946,145.00537,600
1265,Brighton,h,VB,Buxton,10.5,3186,3,2,2,-37.92798,144.9948,600
1266,Brighton,h,VB,Marshall,10.5,3186,5,4,2,-37.8936,144.9982,600
1267,Brighton,h,PI,Buxton,10.5,3186,5,3,4,-37.9059,144.992,600
1268,Brighton,h,PI,Nick,10.5,3186,3,2,2,-37.92276,144.99957,600
1269,Brighton,h,VB,hockingstuart,10.5,3186,4,3,2,-37.89233,144.9925,600
1270,Brighton,h,VB,Marshall,10.5,3186,3,2,2,-37.89085,144.99983,600
1271,Brighton,h,S,Jellis,10.5,3186,3,1,1,-37.88786,144.99853,600
1272,Brighton,h,VB,Marshall,10.5,3186,2,1,0,-37.90914,145.00477,600
1273,Brighton,h,PI,Nick,10.5,3186,4,2,1,-37.90841,145.00497,600
1274,Brighton,h,PI,Marshall,10.5,3186,4,3,2,-37.92022,144.99824,600
1275,Brighton,h,S,Biggin,10.5,3186,4,2,2,-37.89538,145.00121,600
1276,Brighton,h,PI,Buxton,10.5,3186,5,2,2,-37.91852,144.99742,600
1277,Brighton East,h,S,hockingstuart,10.7,3187,4,2,2,-37.9205,145.0122,600
1278,Brighton East,h,S,Nick,10.7,3187,4,2,2,-37.9187,145.007,600
1279,Brighton East,h,SP,Marshall,10.7,3187,3,1,1,-37.9317,145.0218,600
1280,Brighton East,h,PI,hockingstuart,10.7,3187,4,3,2,-37.9162,145.0219,600
1281,Brighton East,h,S,Marshall,10.7,3187,4,2,2,-37.9022,145.0125,600
1282,Brighton East,h,S,Biggin,10.7,3187,2,1,1,-37.9153,145.0142,600
1283,Brighton East,h,PI,Buxton,10.7,3187,4,3,2,-37.9029,145.0118,600
1284,Brighton East,h,VB,Marshall,10.7,3187,4,2,1,-37.9187,145.0187,600
1285,Brighton East,h,VB,Buxton,10.7,3187,4,3,4,-37.9091,145.0245,600
1286,Brighton East,h,S,Nick,10.7,3187,3,2,2,-37.9199,145.0174,600
1287,Brighton East,h,VB,Marshall,10.7,3187,3,1,3,-37.9177,145.0143,600
1288,Brighton East,h,PI,RT,10.7,3187,5,2,2,-37.9084,145.0221,600
1289,Brighton East,h,SP,Buxton,10.7,3187,4,3,2,-37.9205,145.0102,600
1290,Brighton East,h,VB,hockingstuart,10.7,3187,5,2,5,-37.932,145.0284,600
1291,Brighton East,u,S,Buxton,10.7,3187,2,1,1,-37.9306,145.0284,600
1292,Brighton East,h,S,hockingstuart,10.7,3187,3,2,2,-37.9269,145.0274,600
1293,Brighton East,h,S,Marshall,10.7,3187,3,3,2,-37.931,145.0198,600
1294,Brighton East,h,S,Hodges,10.7,3187,5,2,2,-37.9135,145.0189,600
1295,Brighton East,h,PI,Biggin,10.7,3187,2,1,2,-37.9143,145.0238,600
1296,Brighton East,h,PI,Buxton,10.7,3187,4,3,4,-37.9299,145.015,600
1297,Brighton East,h,S,hockingstuart,10.7,3187,5,5,3,-37.9102,145.0245,600
1298,Brighton East,u,S,Buxton,10.7,3187,3,2,2,-37.9308,145.0316,600
1299,Brighton East,h,S,Nick,10.7,3187,4,1,1,-37.931,145.0163,600
1300,Brighton East,h,SP,Buxton,10.7,3187,3,2,2,-37.9062,145.0173,600
1301,Brighton East,h,S,Buxton,10.7,3187,5,3,2,-37.9231,145.0104,600
1302,Brighton East,h,S,Buxton,10.7,3187,5,2,0,-37.9175,145.0116,600
1303,Brighton East,h,SA,hockingstuart,10.7,3187,5,3,2,-37.9075,145.0248,600
1304,Brighton East,h,S,RT,10.7,3187,2,2,1,-37.9187,145.0071,600
1305,Brighton East,h,SP,Marshall,10.7,3187,4,2,4,-37.9255,145.0118,600
1306,Brighton East,h,PI,RT,10.7,3187,5,3,2,-37.9176,145.009,600
1307,Brighton East,u,S,Hodges,10.7,3187,2,1,2,-37.9172,145.0072,600
1308,Brighton East,h,S,C21,10.7,3187,3,1,2,-37.9057,145.0166,600
1309,Brighton East,h,S,Buxton,10.7,3187,2,1,2,-37.9268,145.0094,600
1310,Brighton East,h,PI,RT,10.7,3187,5,3,3,-37.9289,145.0284,600
1311,Brighton East,h,S,hockingstuart,10.7,3187,4,3,2,-37.91,145.0113,600
